what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000510387
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000512577
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000805950
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000808270
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000834910
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000836809
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000877943
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000880302
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349000928655
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001089589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001162151
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001217755
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001218702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001222220
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001243774
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001920286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001931639
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001960735
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001968513
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001982537
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349001985088
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349002005978
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349002006349
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349002006909
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349002108438
