what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349891936560
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349891942623
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349891942799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349891959949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349891980733
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349891985594
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349891986686
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892068718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892429778
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892432761
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892449533
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892453654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892456069
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349892457779
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349892458010
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1349892467863
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1349892467889
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892473074
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892475113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892476026
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892478552
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349892483755
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349892483937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892495464
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349892496242
