what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858745009
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858745064
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348858745104
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858748346
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858748998
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858749638
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858765985
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858771288
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858773276
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348858773516
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858778342
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858778421
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1348858781371
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858787682
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858787780
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858792286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858793463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858795874
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858795938
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858798637
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858798729
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348858802484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858804225
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858804707
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348858805227
